alcohol;malic_acid;ash;alcalinity_of_ash;magnesium;total_phenols;flavanoids;nonflavanoid_phenols;proanthocyanins;color_intensity;hue;od280/od315_of_diluted_wines;proline
12.88;2.99;2.40;20.00;104.00;1.30;1.22;0.24;0.83;5.40;0.74;1.42;530.00
13.88;5.04;2.23;20.00;80.00;0.98;0.34;0.40;0.68;4.90;0.58;1.33;415.00
12.60;2.46;2.20;18.50;94.00;1.62;0.66;0.63;0.94;7.10;0.73;1.58;695.00
14.10;2.16;2.30;18.00;105.00;2.95;3.32;0.22;2.38;5.75;1.25;3.17;1510.00
13.83;1.65;2.60;17.20;94.00;2.45;2.99;0.22;2.29;5.60;1.24;3.37;1265.00
12.25;3.88;2.20;18.50;112.00;1.38;0.78;0.29;1.14;8.21;0.65;2.00;855.00
11.45;2.40;2.42;20.00;96.00;2.90;2.79;0.32;1.83;3.25;0.80;3.39;625.00
11.65;1.67;2.62;26.00;88.00;1.92;1.61;0.40;1.34;2.60;1.36;3.21;562.00
13.68;1.83;2.36;17.20;104.00;2.42;2.69;0.42;1.97;3.84;1.23;2.87;990.00
12.29;3.17;2.21;18.00;88.00;2.85;2.99;0.45;2.81;2.30;1.42;2.83;406.00
13.03;0.90;1.71;16.00;86.00;1.95;2.03;0.24;1.46;4.60;1.19;2.48;392.00
11.64;2.06;2.46;21.60;84.00;1.95;1.69;0.48;1.35;2.80;1.00;2.75;680.00
13.56;1.71;2.31;16.20;117.00;3.15;3.29;0.34;2.34;6.13;0.95;3.38;795.00
13.77;1.90;2.68;17.10;115.00;3.00;2.79;0.39;1.68;6.30;1.13;2.93;1375.00
12.37;0.94;1.36;10.60;88.00;1.98;0.57;0.28;0.42;1.95;1.05;1.82;520.00
13.05;1.77;2.10;17.00;107.00;3.00;3.00;0.28;2.03;5.04;0.88;3.35;885.00
13.75;1.73;2.41;16.00;89.00;2.60;2.76;0.29;1.81;5.60;1.15;2.90;1320.00
12.64;1.36;2.02;16.80;100.00;2.02;1.41;0.53;0.62;5.75;0.98;1.59;450.00
14.22;1.70;2.30;16.30;118.00;3.20;3.00;0.26;2.03;6.38;0.94;3.31;970.00
12.96;3.45;2.35;18.50;106.00;1.39;0.70;0.40;0.94;5.28;0.68;1.75;675.00
13.40;3.91;2.48;23.00;102.00;1.80;0.75;0.43;1.41;7.30;0.70;1.56;750.00
12.93;2.81;2.70;21.00;96.00;1.54;0.50;0.53;0.75;4.60;0.77;2.31;600.00
14.13;4.10;2.74;24.50;96.00;2.05;0.76;0.56;1.35;9.20;0.61;1.60;560.00
14.10;2.02;2.40;18.80;103.00;2.75;2.92;0.32;2.38;6.20;1.07;2.75;1060.00
13.32;3.24;2.38;21.50;92.00;1.93;0.76;0.45;1.25;8.42;0.55;1.62;650.00
11.87;4.31;2.39;21.00;82.00;2.86;3.03;0.21;2.91;2.80;0.75;3.64;380.00
12.08;2.08;1.70;17.50;97.00;2.23;2.17;0.26;1.40;3.30;1.27;2.96;710.00
12.21;1.19;1.75;16.80;151.00;1.85;1.28;0.14;2.50;2.85;1.28;3.07;718.00
14.06;1.63;2.28;16.00;126.00;3.00;3.17;0.24;2.10;5.65;1.09;3.71;780.00
13.78;2.76;2.30;22.00;90.00;1.35;0.68;0.41;1.03;9.58;0.70;1.68;615.00
12.00;3.43;2.00;19.00;87.00;2.00;1.64;0.37;1.87;1.28;0.93;3.05;564.00
13.24;3.98;2.29;17.50;103.00;2.64;2.63;0.32;1.66;4.36;0.82;3.00;680.00
13.63;1.81;2.70;17.20;112.00;2.85;2.91;0.30;1.46;7.30;1.28;2.88;1310.00
13.51;1.80;2.65;19.00;110.00;2.35;2.53;0.29;1.54;4.20;1.10;2.87;1095.00
13.90;1.68;2.12;16.00;101.00;3.10;3.39;0.21;2.14;6.10;0.91;3.33;985.00
14.23;1.71;2.43;15.60;127.00;2.80;3.06;0.28;2.29;5.64;1.04;3.92;1065.00
13.74;1.67;2.25;16.40;118.00;2.60;2.90;0.21;1.62;5.85;0.92;3.20;1060.00
13.23;3.30;2.28;18.50;98.00;1.80;0.83;0.61;1.87;10.52;0.56;1.51;675.00
12.25;1.73;2.12;19.00;80.00;1.65;2.03;0.37;1.63;3.40;1.00;3.17;510.00
13.29;1.97;2.68;16.80;102.00;3.00;3.23;0.31;1.66;6.00;1.07;2.84;1270.00
11.56;2.05;3.23;28.50;119.00;3.18;5.08;0.47;1.87;6.00;0.93;3.69;465.00
11.41;0.74;2.50;21.00;88.00;2.48;2.01;0.42;1.44;3.08;1.10;2.31;434.00
13.50;3.12;2.62;24.00;123.00;1.40;1.57;0.22;1.25;8.60;0.59;1.30;500.00
11.76;2.68;2.92;20.00;103.00;1.75;2.03;0.60;1.05;3.80;1.23;2.50;607.00
13.62;4.95;2.35;20.00;92.00;2.00;0.80;0.47;1.02;4.40;0.91;2.05;550.00
12.58;1.29;2.10;20.00;103.00;1.48;0.58;0.53;1.40;7.60;0.58;1.55;640.00
13.71;5.65;2.45;20.50;95.00;1.68;0.61;0.52;1.06;7.70;0.64;1.74;740.00
11.62;1.99;2.28;18.00;98.00;3.02;2.26;0.17;1.35;3.25;1.16;2.96;345.00
11.61;1.35;2.70;20.00;94.00;2.74;2.92;0.29;2.49;2.65;0.96;3.26;680.00
13.67;1.25;1.92;18.00;94.00;2.10;1.79;0.32;0.73;3.80;1.23;2.46;630.00
13.11;1.01;1.70;15.00;78.00;2.98;3.18;0.26;2.28;5.30;1.12;3.18;502.00
12.45;3.03;2.64;27.00;97.00;1.90;0.58;0.63;1.14;7.50;0.67;1.73;880.00
13.27;4.28;2.26;20.00;120.00;1.59;0.69;0.43;1.35;10.20;0.59;1.56;835.00
12.20;3.03;2.32;19.00;96.00;1.25;0.49;0.40;0.73;5.50;0.66;1.83;510.00
12.70;3.87;2.40;23.00;101.00;2.83;2.55;0.43;1.95;2.57;1.19;3.13;463.00
12.72;1.81;2.20;18.80;86.00;2.20;2.53;0.26;1.77;3.90;1.16;3.14;714.00
14.38;3.59;2.28;16.00;102.00;3.25;3.17;0.27;2.19;4.90;1.04;3.44;1065.00
12.07;2.16;2.17;21.00;85.00;2.60;2.65;0.37;1.35;2.76;0.86;3.28;378.00
13.40;4.60;2.86;25.00;112.00;1.98;0.96;0.27;1.11;8.50;0.67;1.92;630.00
14.19;1.59;2.48;16.50;108.00;3.30;3.93;0.32;1.86;8.70;1.23;2.82;1680.00
12.16;1.61;2.31;22.80;90.00;1.78;1.69;0.43;1.56;2.45;1.33;2.26;495.00
12.37;1.63;2.30;24.50;88.00;2.22;2.45;0.40;1.90;2.12;0.89;2.78;342.00
12.42;2.55;2.27;22.00;90.00;1.68;1.84;0.66;1.42;2.70;0.86;3.30;315.00
12.60;1.34;1.90;18.50;88.00;1.45;1.36;0.29;1.35;2.45;1.04;2.77;562.00
11.46;3.74;1.82;19.50;107.00;3.18;2.58;0.24;3.58;2.90;0.75;2.81;562.00
12.69;1.53;2.26;20.70;80.00;1.38;1.46;0.58;1.62;3.05;0.96;2.06;495.00
13.69;3.26;2.54;20.00;107.00;1.83;0.56;0.50;0.80;5.88;0.96;1.82;680.00
12.72;1.75;2.28;22.50;84.00;1.38;1.76;0.48;1.63;3.30;0.88;2.42;488.00
14.06;2.15;2.61;17.60;121.00;2.60;2.51;0.31;1.25;5.05;1.06;3.58;1295.00
14.37;1.95;2.50;16.80;113.00;3.85;3.49;0.24;2.18;7.80;0.86;3.45;1480.00
13.48;1.81;2.41;20.50;100.00;2.70;2.98;0.26;1.86;5.10;1.04;3.47;920.00
13.86;1.35;2.27;16.00;98.00;2.98;3.15;0.22;1.85;7.22;1.01;3.55;1045.00
12.51;1.24;2.25;17.50;85.00;2.00;0.58;0.60;1.25;5.45;0.75;1.51;650.00
14.22;3.99;2.51;13.20;128.00;3.00;3.04;0.20;2.08;5.10;0.89;3.53;760.00
13.08;3.90;2.36;21.50;113.00;1.41;1.39;0.34;1.14;9.40;0.57;1.33;550.00
13.39;1.77;2.62;16.10;93.00;2.85;2.94;0.34;1.45;4.80;0.92;3.22;1195.00
14.16;2.51;2.48;20.00;91.00;1.68;0.70;0.44;1.24;9.70;0.62;1.71;660.00
13.71;1.86;2.36;16.60;101.00;2.61;2.88;0.27;1.69;3.80;1.11;4.00;1035.00
